OBJECTID,Name,FacilityTy,Weight,Capacity,DemandCoun,DemandWeig,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Total_Leng,Total_Time,TotalWeigh,TotalWei_1,POINT_X,POINT_Y
1,FaID.0001,1,1.000000000000000,0.000000000000000,198,234358.996719999995548,1,160174,0.688793768619000,2,0,0,648388.584202000056393,890121.149016999988817,0.000000000000000,22.787648152599999,228323.068812000012258,0.000000000000000,264422221.182999998331070,0.000000000000000,-112.086129100999997,33.446760664199999
2,FaID.0002,1,1.000000000000000,0.000000000000000,93,75537.036479999995208,1,188194,0.436975960266000,2,0,0,638440.679570000036620,938064.626488000038080,0.000000000000000,81.265972006799998,278601.677360999980010,0.000000000000000,175848591.279000014066696,0.000000000000000,-112.119627559999998,33.578233765199997
3,FaID.0003,1,1.000000000000000,0.000000000000000,122,33764.949240000001737,1,31613,0.389488298916000,2,0,0,651788.312984999967739,870269.889704999979585,0.000000000000000,33.449865712600001,395227.169453000009526,0.000000000000000,80260526.704400002956390,0.000000000000000,-112.074640524000003,33.392523247400000
4,FaID.0004,1,1.000000000000000,0.000000000000000,628,815835.108039999962784,1,160109,0.185753737355000,1,0,0,648186.218483999953605,889511.967795999953523,0.000000000000000,36.158363537699998,212403.557961000013165,0.000000000000000,262422346.201999992132187,0.000000000000000,-112.086535874000006,33.444764806499997
5,FaID.0005,1,1.000000000000000,0.000000000000000,130,71794.585000000006403,1,258827,0.711027833830000,1,0,0,566915.071809999994002,886436.351509999949485,0.000000000000000,28.743924620800001,423851.736447000002954,0.000000000000000,255455912.099000006914139,0.000000000000000,-112.352628248000002,33.435986901800000
6,FaID.0006,1,1.000000000000000,0.000000000000000,40,32678.849519999999757,1,161648,0.664865059621000,1,0,0,653243.163827999960631,895410.649688999983482,0.000000000000000,44.883264768099998,101782.224220999996760,0.000000000000000,66803950.029399998486042,0.000000000000000,-112.069995527000003,33.460919461200000
7,FaID.0007,1,1.000000000000000,0.000000000000000,33,35087.711400000000140,1,31993,0.711699040618000,1,0,0,652108.776937999995425,895955.289133999962360,0.000000000000000,49.350512843799997,100627.896768000005977,0.000000000000000,94492513.200499996542931,0.000000000000000,-112.073185550000005,33.462816623400002
8,FaID.0009,1,1.000000000000000,0.000000000000000,123,133119.406279999995604,1,278918,0.685680147388000,1,0,0,723483.783307999954559,837931.546779999975115,0.000000000000000,39.078209857700003,225260.601078000006964,0.000000000000000,202588484.544999986886978,0.000000000000000,-111.839811478000001,33.303066251700002
9,FaID.0010,1,1.000000000000000,0.000000000000000,79,77676.753599999996368,1,159411,0.875309582332000,1,0,0,650035.251983999973163,886112.718916999991052,0.000000000000000,32.957220264999997,279132.876887999998871,0.000000000000000,293532506.837000012397766,0.000000000000000,-112.080110388999998,33.435756146000003
10,FaID.0011,1,1.000000000000000,0.000000000000000,89,51166.205320000000938,1,31899,0.538912791443000,1,0,0,658562.735461000003852,875548.921790000051260,0.000000000000000,41.918053742200001,327799.300665999995545,0.000000000000000,170577456.719000011682510,0.000000000000000,-112.052463344000003,33.406378829700003
