OBJECTID,PointID,FIPS,parcelsamp,RPL_THEMES,RelativeRi,Relative_1,APN,DBT_BEGIN,BEGIN_DATE,FLOOR,ADDRESS,AREA,Shape_Leng,POINT_X,POINT_Y
1801,PID.0402084,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820124,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5438 W ALICE AVE,8987.000000000000000,381.387561892999997,-112.177044222999996,33.565088512199999
1802,PID.0671294,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14816109,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5808 W EVERGREEN RD,9907.000000000000000,400.829930541000010,-112.184470263999998,33.560148576000003
1803,PID.0688113,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14817061,2008-10-13 19:00:00,2001-01-31 18:00:00,1,5778 W SELDON LN,6297.000000000000000,338.996724883000013,-112.183980719000004,33.561020140300002
1804,PID.0407339,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14819190,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5649 W TOWNLEY AVE,6761.000000000000000,335.831265148000000,-112.181089009999994,33.565439265700000
1805,PID.1004609,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820132,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5428 W BARBARA AVE,7880.000000000000000,360.100688681999998,-112.176486530000005,33.564148095699998
1806,PID.0888941,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14818140,2008-10-13 19:00:00,1997-12-30 18:00:00,1,5775 W TOWNLEY AVE,11636.000000000000000,463.809987056000011,-112.183434019000003,33.565868574299998
1807,PID.0447886,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14819134,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5539 W ALICE AVE,7603.000000000000000,351.682729422000023,-112.179266237999997,33.564225030000003
1808,PID.0891557,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14814044A,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8325 N 55TH DR,8316.000000000000000,369.999837535999973,-112.178201346999998,33.557774128399998
1809,PID.0970653,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14817040,2008-10-13 19:00:00,2001-01-31 18:00:00,1,5708 W FREEWAY LN,6685.000000000000000,350.619720287999996,-112.182120463999993,33.561419535200002
1810,PID.0644707,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14813077,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5114 W ECHO LN,8825.000000000000000,385.273627101999978,-112.169884135999993,33.560080407199997
