"id","longitude","latitude","address","type"
"FaID.0148",-112.090371349,33.439130095,"1326 W HADLEY ST PHOENIX AZ 85007","candidate location"
"FaID.0149",-112.064321414,33.3979502186,"5245 S 7TH ST PHOENIX AZ 85040","candidate location"
"FaID.0150",-112.077608136,33.6477170387,"214 W GROVERS AVE PHOENIX AZ 85023","candidate location"
"FaID.0151",-112.379135953,33.6543678237,"14795 W MOUNTAIN VIEW BLVD SURPRISE AZ 85374","candidate location"
"FaID.0152",-112.235299905,33.4313779502,"8150 W DURANGO ST PHOENIX AZ 85043","candidate location"
"FaID.0153",-112.098860021,33.6032261206,"12851 N 19TH AVE PHOENIX AZ 85029","candidate location"
"FaID.0154",-112.244764106,33.5386165123,"8600 W GLENDALE AVE GLENDALE AZ 85305","candidate location"
"FaID.0155",-112.283255831,33.6000428872,"12649 N 105TH AVE SUN CITY AZ 85351","candidate location"
"FaID.0156",-112.330112981,33.636913771,"12535 W SMOKEY DR SURPRISE AZ 85378","candidate location"
"FaID.0157",-111.893051553,33.6982859612,"8701 E PINNACLE PEAK RD SCOTTSDALE AZ 85255","candidate location"
"FaID.0158",-112.215857342,33.5226796853,"7249 W BETHANY HOME RD GLENDALE AZ 85303","candidate location"
"FaID.0159",-112.097249686,33.511324118,"5043 N 18TH AVE PHOENIX AZ 85015","candidate location"
"FaID.0160",-111.737440063,33.6212377923,"15507 E BAINBRIDGE AVE FOUNTAIN HILLS AZ 85268","candidate location"
"FaID.0161",-112.385948224,33.6309440555,"15129 W PARADISE LN SURPRISE AZ 85374","candidate location"
"FaID.0162",-112.075727415,33.4363583658,"1120 S 1ST AVE PHOENIX AZ 85003","candidate location"
"FaID.0163",-111.792636067,33.3522687115,"130 N OAK ST GILBERT AZ 85233","candidate location"
"FaID.0164",-112.277827746,33.6512612123,"18401 N 99TH AVE SUN CITY AZ 85373","candidate location"
"FaID.0165",-112.089164213,33.6643116249,"1402 W SEQUOIA DR PHOENIX AZ 85027","candidate location"
"FaID.0166",-112.280402939,33.5731656597,"9925 N 103RD AVE SUN CITY AZ 85351","candidate location"
